vendor,bucket,category,package_name,price,option_description,package_description,Description,Value
Market Resource Partners,Client,Event Recruitment,Event Registration Generation with Dynamic E-Mail,"$10,000 USD","Client-$10,000-Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included).  Estimated 75+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness..  Net New Prospects.","Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included). Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.",Registrations,75
Market Resource Partners,Client,Event Recruitment,Event Registration Generation with Dynamic E-Mail,"$15,000 USD","Client-$15,000-Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included).  Estimated 150+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.","Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included). Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.",Registrations,150
Market Resource Partners,Enterprise,Telemarketing,Tele-Optimization (BANT-P),"$5,000 USD","Enterprise- $5,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. 14 Total Leads (7 BANT-P Qualified Opportunities & 7 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact Database.  Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,14
Market Resource Partners,Enterprise,Telemarketing,Tele-Optimization (BANT-P),"$10,000 USD","Enterprise- $10,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. 32 Total Leads (16 BANT-P Qualified Opportunities & 16 Nurture Leads),  dedicated campaign resource, and 300-500 IT End User Contact Database.  Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,32
Market Resource Partners,Enterprise,Telemarketing,Tele-Optimization (BANT-P),"$15,000 USD","Enterprise- $15,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice.  48 Total Leads (24 BANT-P Qualified Opportunities & 24 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact. Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,48
Market Resource Partners,Enterprise,Telemarketing,Tele-Optimization (BANT-P),"$20,000 USD","Enterprise- $20,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. 66 Total Leads (33 BANT-P Qualified Opportunities & 33 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contacts.  Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,66
Market Resource Partners,Client,Telemarketing,Tele-Optimization (BANT-P),"$5,000 USD","Client- $5,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice.  16 Total Leads (8 BANT-P Qualified Opportunities & 8 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact Database. Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,16
Market Resource Partners,Client,Telemarketing,Tele-Optimization (BANT-P),"$10,000 USD","Client- $10,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. 38 Total Leads (19 BANT-P Qualified Opportunities & 19 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact.  Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,38
Market Resource Partners,Client,Telemarketing,Tele-Optimization (BANT-P),"$15,000 USD","Client- $15,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. 58 Total Leads (29 BANT-P Qualified Opportunities & 29 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact Database
provided by MRP. Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,58
Market Resource Partners,Client,Telemarketing,Tele-Optimization (BANT-P),"$20,000 USD","Client- $20,000 USD-Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice.   78 Total Leads (39 BANT-P Qualified Opportunities & 39 Nurture Leads), dedicated campaign resource, and 300-500 IT End User Contact Database
provided by MRP.  Net New Prospects.","Telemarketing-MRP: Drive pipeline and revenue via tele-prospecting and BANT qualification around solution area of choice. Includes BANT-P Qualified Opportunities & Nurture Leads), dedicated campaign resource, and IT End User Contact Database.  Net New Prospects.",Leads,78
Market Resource Partners,Client,Content Creation,High Impact Direct Mailer,"$10,000 USD","Client-$10,000-Content Creation-MRP: High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   50 Incentive Based Leads, 400 Phone-Validated Contacts, 400 Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.","High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   Includes incentive Based Leads, Phone-Validated Contacts, Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.",Leads,50
Market Resource Partners,Client,Content Creation,High Impact Direct Mailer,"$20,000 USD","Client-$20,000-Content Creation-MRP: High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   100 Incentive Based Leads, 800 Phone-Validated Contacts, 800 Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, and Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.","High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   Includes incentive Based Leads, Phone-Validated Contacts, Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.",Leads,100
Market Resource Partners,Enterprise,Content Creation,High Impact Direct Mailer,"$10,000 USD","Enterprise-$10,000-Content Creation-MRP: High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.    50 Incentive Based Leads, 400 Phone-Validated Contacts, 400 Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.","High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   Includes incentive Based Leads, Phone-Validated Contacts, Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.",Leads,50
Market Resource Partners,Enterprise,Content Creation,High Impact Direct Mailer,"$20,000 USD","Enterprise-$20,000-Content Creation-MRP: High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   100 Incentive Based Leads, 800 Phone-Validated Contacts, 800 Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, and Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.","High Impact Direct Mailer-Integrated, incentive based, demand generation campaign driving high quality leads and sales engagements.   Includes incentive Based Leads, Phone-Validated Contacts, Direct Mailers, Microsite with survey, Personalized lead monitoring portal, Creative concept, copywriting, survey development and survey management, Dedicated account executive for the confirmation of leads and confirmation of meetings.  Net New Prospects.",Leads,100
Market Resource Partners,Enterprise,Content Creation,Dynamic + Tele-Optimization,"$10,000 USD","Enterprise-$10,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 14 Total Leads (7 BANT-P Qualified Opportunities & 7 Nurture Leads), 4 E-Mails per Quarter, 2,500 contacts with email addresses, and 20 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,34
Market Resource Partners,Enterprise,Content Creation,Dynamic + Tele-Optimization,"$15,000 USD","Enterprise-$15,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 32 Total Leads (16 BANT-P Qualified Opportunities & 16 Nurture Leads), 8 E-Mails per Quarter, 5,000 contacts with email addresses, and 40 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,72
Market Resource Partners,Enterprise,Content Creation,Dynamic + Tele-Optimization,"$20,000 USD","Enterprise-$20,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 48 Total Leads (24 BANT-P Qualified Opportunities & 24 Nurture Leads), 8 E-Mails per Quarter, 5,000 contacts with email addresses, and 40 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,88
Market Resource Partners,Client,Content Creation,Dynamic + Tele-Optimization,"$10,000 USD","Client-$10,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 16 Total Leads (8 BANT-P Qualified Opportunities & 8 Nurture Leads),  4 E-Mails per Quarter, 2,500 contacts with email addresses, and 20 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,36
Market Resource Partners,Client,Content Creation,Dynamic + Tele-Optimization,"$15,000 USD","Client-$15,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 38 Total Leads (19 BANT-P Qualified Opportunities & 19 Nurture Leads), 8 E-Mails per Quarter, 5,000 contacts with email addresses, and 40 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,78
Market Resource Partners,Client,Content Creation,Dynamic + Tele-Optimization,"$20,000 USD","Client-$20,000-Content Creation-MRP: MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. 58 Total Leads (29 BANT-P Qualified Opportunities & 29 Nurture Leads), 8 E-Mails per Quarter, 5,000 contacts with email addresses, and 40 Leads via Content Download.  Net New Prospects.","MRP will make emails and landing pages more visual and engaging, MRP will prioritize email responders for follow up to generate qualified opportunities. Includes BANT-P Qualified Opportunities &  Nurture Leads, E-Mails , contacts with email addresses, and  Leads via Content Download.  Net New Prospects.",Leads,98
Market Resource Partners,Enterprise,Database & Analytics,Market Segmentation Heat Map + Tele-Optimization,"$10,000 USD","Enterprise-$10,000-Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. 14 Total Leads (7 BANT-P Qualified Opportunities & 7 Nurture Leads), Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of 200 Accounts/600+ Contacts.  Net New Prospects.","Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. Includes BANT-P Qualified Opportunities & Nurture Leads, Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of  Accounts/ Contacts.  Net New Prospects.",Leads,14
Market Resource Partners,Enterprise,Database & Analytics,Market Segmentation Heat Map + Tele-Optimization,"$20,000 USD","Enterprise-$20,000-Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. 32 Total Leads (16 BANT-P Qualified Opportunities & 16 Nurture Leads), Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of 200 Accounts/600+ Contacts.  Net New Prospects.","Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. Includes BANT-P Qualified Opportunities & Nurture Leads, Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of  Accounts/ Contacts.  Net New Prospects.",Leads,32
Market Resource Partners,Client,Database & Analytics,Market Segmentation Heat Map + Tele-Optimization,"$10,000 USD","Client-$10,000-Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. 16 Total Leads (8 BANT-P Qualified Opportunities & 8 Nurture Leads), Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of 200 Accounts/600+ Contacts.  Net New Prospects.","Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. Includes BANT-P Qualified Opportunities & Nurture Leads, Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of  Accounts/ Contacts.  Net New Prospects.",Leads,16
Market Resource Partners,Client,Database & Analytics,Market Segmentation Heat Map + Tele-Optimization,"$20,000 USD","Client-$20,000-Database and Analytics-MRP:  Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. 38 Total Leads (19 BANT-P Qualified Opportunities & 19 Nurture Leads), Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of 200 Accounts/600+ Contacts.  Net New Prospects.","Database and Analytics-MRP: Build out an end user database, receive high level marketing recommendations around Dell specific products that are resonating in your target market. Includes BANT-P Qualified Opportunities & Nurture Leads, Dedicated Marketing Analyst, Customized segmentation report: Whitespace prospects vs. existing customer analysis, Vertical Prioritization/Recommendations, and Contact Database of  Accounts/ Contacts.  Net New Prospects.",Leads,38
OneAffiniti,Enterprise,Content Creation,OneAffiniti Lead Generation Program,"$5,000 USD","Marketing campaign that drives leads by activating existing accounts. Campaign consists of email, landing page, social, tele-qualification and closed loop sales reporting  Less than five minutes of time a month for 15 sales-ready leads and a closed revenue target of $45,000 over 3 months.","Marketing campaign that drives leads by activating existing accounts. Campaign consists of email, landing page, social, tele-qualification and closed loop sales reporting  Less than five minutes of time a month for 15 sales-ready leads and a closed revenue target of $45,000 over 3 months.",Leads,15
OneAffiniti,Client,Content Creation,OneAffiniti Lead Generation Program,"$5,000 USD","Marketing campaign that drives leads by activating existing accounts. Campaign consists of email and landing page development, social media, tele-qualification and closed loop sales reporting  Less than five minutes of time a month for 15 sales-ready leads and a closed revenue target of $45,000 over 3 months.","Marketing campaign that drives leads by activating existing accounts. Campaign consists of email, landing page, social, tele-qualification and closed loop sales reporting  Less than five minutes of time a month for 15 sales-ready leads and a closed revenue target of $45,000 over 3 months.",Leads,15
The Channel Company,Client,Telemarketing,Lead Generation Program,"$5,000 USD","Telemarketing generation campaign that includes list rental, script and delivery of 9 sales-qualified leads who are expecting a call from partner.","Telemarketing generation campaign that includes list rental, script and delivery of sales-qualified leads who are expecting a call from partner.",Leads,9
The Channel Company,Enterprise,Telemarketing,Lead Generation Program,"$5,000 USD","Telemarketing generation campaign that includes list rental, campaigns include list rental, script and delivery of 8 sales-qualified leads who are expecting a call from partner.","Telemarketing generation campaign that includes list rental, script and delivery of sales-qualified leads who are expecting a call from partner.",Leads,8
The Channel Company,Client,Content Creation,Integrated Lead Generation,"$10,000 USD","Integrated campaign that includes list rental, cobranding/deployment of 3 emails, creation of one custom case study or solutions brief, telemarketing for 7 sales-qualified leads expecting a call from partner.","Integrated campaign that includes list rental, cobranding/deployment of  emails, creation of one custom case study or solutions brief, telemarketing for  sales-qualified leads expecting a call from partner.",Leads,7
The Channel Company,Client,Content Creation,Integrated Lead Generation,"$10,000 USD","Integrated email campaign that includes list rental, cobranding and deployment of 3 emails and telemarketing for 12 sales-qualified leads who are expecting a call from partner.","Integrated email campaign that includes list rental, cobranding and deployment of  emails and telemarketing for  sales-qualified leads who are expecting a call from partner.",Leads,12
The Channel Company,Client,Webinar,Webinar Campaign,"$10,000 USD","Webinar package that includes list rental, creation and deployment of 4 emails, webinar hosting, registration management & telemarketing for 8 sales-qualified leads expecting call from partner.","Webinar package that includes list rental, creation and deployment of  emails, webinar hosting, registration management & telemarketing for  sales-qualified leads expecting call from partner.",Leads,8
The Channel Company,Enterprise,Content Creation,Integrated Lead Generation,"$10,000 USD","Integrated campaign that includes list rental, cobranding/deployment of 3 emails, creation of one custom case study or solutions brief, telemarketing for 6 sales-qualified leads expecting call from partner.","Integrated campaign that includes list rental, cobranding/deployment of  emails, creation of one custom case study or solutions brief, telemarketing for  sales-qualified leads expecting a call from partner.",Leads,6
The Channel Company,Enterprise,Content Creation,Integrated Lead Generation,"$10,000 USD","Email campaign that includes list rental, cobranding and deployment of 3 emails and telemarketing for 12 sales-qualified leads who are expecting a call from partner.","Integrated email campaign that includes list rental, cobranding and deployment of  emails and telemarketing for  sales-qualified leads who are expecting a call from partner.",Leads,12
The Channel Company,Enterprise,Webinar,Webinar Campaign,"$10,000 USD","Webinar package that includes list rental, creation and deployment of 4 emails, webinar hosting, registration management & telemarketing for 7 sales-qualified leads expecting call from partner.","Webinar package that includes list rental, creation and deployment of  emails, webinar hosting, registration management & telemarketing for  sales-qualified leads expecting call from partner.",Leads,7
The Channel Company,Client,Content Creation,Integrated Lead Generation,"$15,000 USD","Integrated campaign including list rental, cobranding/deployment of 3 emails, creation of one custom case study or solutions brief & telemarketing for 18 sales-qualified leads expecting call from partner.","Integrated campaign including list rental, cobranding/deployment of  emails, creation of one custom case study or solutions brief & telemarketing for  sales-qualified leads expecting call from partner.",Leads,18
The Channel Company,Client,Content Creation,Integrated Lead Generation,"$15,000 USD","Integrated email campaign including list rental, cobranding and deployment of 3 emails & telemarketing for 22 sales-qualified leads who are expecting a call from partner.","Integrated email campaign including list rental, cobranding and deployment of  emails & telemarketing for  sales-qualified leads who are expecting a call from partner.",Leads,22
The Channel Company,Client,Content Creation,Integrated Video Campaign,"$15,000 USD","Integrated video campaign that includes list rental, cobranding/deployment of 3 emails, creation of one 2-3 min custom video & telemarketing for 11 sales-qualified leads expecting call from partner.","Integrated video campaign that includes list rental, cobranding/deployment of  emails, creation of one custom video & telemarketing for  sales-qualified leads expecting call from partner.",Leads,11
The Channel Company,Enterprise,Content Creation,Integrated Lead Generation,"$15,000 USD","Integrated campaign including list rental, cobranding/deployment three emails, creation of one custom case study or solutions brief & telemarketing for 15 sales-qualified leads expecting call from partner.","Integrated campaign including list rental, cobranding/deployment  emails, creation of one custom case study or solutions brief & telemarketing for  sales-qualified leads expecting call from partner.",Leads,15
The Channel Company,Enterprise,Content Creation,Integrated Lead Generation,"$15,000 USD","Integrated email campaign that includes list rental, cobranding and deployment of 3 emails telemarketing for 19 sales-qualified leads who are expecting a call from partner.","Integrated email campaign that includes list rental, cobranding and deployment of  emails telemarketing for  sales-qualified leads who are expecting a call from partner.",Leads,19
The Channel Company,Enterprise,Content Creation,Integrated Video Campaign,"$15,000 USD","Integrated video campaign includes list rental, cobranding/deployment 3 emails, creation of one 2-3 min custom video & telemarketing for 9 sales-qualified leads expecting call from partner.","Integrated video campaign includes list rental, cobranding/deployment  emails, creation of one custom video & telemarketing for  sales-qualified leads expecting call from partner.",Leads,9
The Channel Company,Client,Content Creation,Integrated Lead Generation,"$20,000 USD","Integrated email campaign that includes list rental, cobranding and deployment of 3 emails & telemarketing for 35 sales-qualified leads who are expecting a call from partner.","Integrated email campaign that includes list rental, cobranding and deployment of  emails & telemarketing for  sales-qualified leads who are expecting a call from partner.",Leads,35
